選舉類型,選區,候選人,推薦政黨
村里長,新北市淡水區北投里,張麗卿,中國國民黨
村里長,新北市淡水區忠寮里,蔣耿南,無
村里長,新北市淡水區坪頂里,郭建義,無
村里長,新北市淡水區竹圍里,李啟源,無
村里長,新北市淡水區民生里,陳李明緣,中國國民黨
村里長,新北市淡水區八勢里,沈欽裕,無
村里長,新北市淡水區竿蓁里,王信崇,中國國民黨
村里長,新北市淡水區鄧公里,邱美津,中國國民黨
村里長,新北市淡水區中興里,江慶發,無
村里長,新北市淡水區長庚里,陳崇煌,無
村里長,新北市淡水區草東里,黃逢晚,無
村里長,新北市淡水區協元里,蕭慶和,無
村里長,新北市淡水區永吉里,謝安棋,無
村里長,新北市淡水區民安里,鄭英和,無
村里長,新北市淡水區油車里,唐儷樺,中國國民黨
村里長,新北市淡水區新義里,盧寶全,無
村里長,新北市淡水區新春里,莊志文,無
村里長,新北市淡水區新民里,林聖傑,無
村里長,新北市淡水區正德里,黃俊雄,無
村里長,新北市淡水區北新里,許春榮,中國國民黨
村里長,新北市淡水區民權里,江瑟媚,無
村里長,新北市淡水區幸福里,李佳倩,無
村里長,新北市淡水區學府里,林文成,無
村里長,新北市淡水區大庄里,林建仲,中國國民黨
村里長,新北市汐止區智慧里,黃智明,無
村里長,新北市汐止區信望里,楊順德,無
村里長,新北市汐止區秀峰里,蘇樹木,無
村里長,新北市汐止區新昌里,林碧霞,中國國民黨
村里長,新北市汐止區復興里,蕭素真,無
村里長,新北市汐止區保安里,蘇忠吉,無
村里長,新北市汐止區保長里,賴宗福,無
村里長,新北市汐止區北峰里,陳南海,無
村里長,新北市汐止區橫科里,詹清山,中國國民黨
村里長,新北市汐止區福山里,謝志忠,中國國民黨
村里長,新北市汐止區宜興里,陳清溪,中國國民黨
村里長,新北市汐止區中興里,蔡振國,無
村里長,新北市汐止區厚德里,陳有諒,中國國民黨
村里長,新北市汐止區文化里,余寶聰,中國國民黨
村里長,新北市汐止區金龍里,陳美麗,無
村里長,新北市汐止區福德里,林山永,無
村里長,新北市汐止區環河里,黃世和,民主進步黨
村里長,新北市汐止區崇德里,蘇宏杰,無
村里長,新北市汐止區長青里,陳建興,中國國民黨
村里長,新北市汐止區福安里,顏群宗,無
村里長,新北市汐止區建成里,黃信裕,無
村里長,新北市汐止區城中里,廖福賢,無
村里長,新北市汐止區保新里,吳明道,無
村里長,新北市瑞芳區龍川里,賴鴻春,無
村里長,新北市瑞芳區龍山里,陳志強,時代力量
村里長,新北市瑞芳區龍安里,柯瑞和,無
村里長,新北市瑞芳區柑坪里,許銘仁,無
村里長,新北市瑞芳區東和里,周樹木,無
村里長,新北市瑞芳區上天里,林瑞明,無
村里長,新北市瑞芳區吉安里,謝永昌,無
村里長,新北市瑞芳區傑魚里,周清標,無
村里長,新北市瑞芳區猴硐里,楊志德,無
村里長,新北市瑞芳區基山里,石智能,無
村里長,新北市瑞芳區崇文里,江李美女,無
村里長,新北市瑞芳區福住里,蘇進益,無
村里長,新北市瑞芳區新山里,吳苓芳,無
村里長,新北市瑞芳區濓新里,黃瑞聰,無
村里長,新北市瑞芳區瑞濱里,胡長安,無
村里長,新北市土城區埤塘里,邱顯俊,無
村里長,新北市土城區土城里,徐信榮,無
村里長,新北市土城區員仁里,洪永富,無
村里長,新北市土城區日新里,吳信坪,無
村里長,新北市土城區柑林里,張育誠,無
村里長,新北市土城區埤林里,蔡志紅,無
村里長,新北市土城區清水里,江純文,無
村里長,新北市土城區永豐里,黃榮沐,無
村里長,新北市土城區清化里,袁慧如,無
村里長,新北市土城區清溪里,彭兆鵬,無
村里長,新北市土城區廷寮里,李月嬌,無
村里長,新北市土城區大安里,張俊隆,無
村里長,新北市土城區頂埔里,林忠謀,無
村里長,新北市土城區頂福里,顏義信,無
村里長,新北市土城區頂新里,許元皇,無
村里長,新北市土城區祖田里,呂惠美,無
村里長,新北市土城區廣福里,丁科秀,無
村里長,新北市土城區學府里,宮敬家,無
村里長,新北市土城區延壽里,滕月蘭,無
村里長,新北市土城區安和里,古秋源,無
村里長,新北市土城區青雲里,廖特青,無
村里長,新北市土城區延吉里,楊季堂,無
村里長,新北市土城區員信里,杜萬來,無
村里長,新北市土城區永富里,黃思儀,無
村里長,新北市土城區延和里,黃富源,無
村里長,新北市土城區學士里,黃榮葵,中國國民黨
村里長,新北市土城區廣興里,張淑玲,中國國民黨
村里長,新北市土城區延祿里,周婕,無
村里長,新北市蘆洲區正義里,林志修,無
村里長,新北市蘆洲區光華里,李鵬毅,無
村里長,新北市蘆洲區保佑里,李紹和,無
村里長,新北市蘆洲區水湳里,吳松標,無
村里長,新北市蘆洲區樓厝里,李煒寅,無
村里長,新北市蘆洲區樹德里,李芳龍,無
村里長,新北市蘆洲區得勝里,蔡志選,無
村里長,新北市蘆洲區南港里,王珠香,無
村里長,新北市蘆洲區永康里,林世峯,無
村里長,新北市蘆洲區信義里,郭騰芳,無
村里長,新北市蘆洲區復興里,李源泉,無
村里長,新北市蘆洲區仁愛里,林宏典,無
村里長,新北市蘆洲區忠義里,杜芝蓮,無
村里長,新北市蘆洲區中華里,蔡宜峰,民主進步黨
村里長,新北市蘆洲區仁義里,何益銘,無
村里長,新北市蘆洲區光明里,陳文良,民主進步黨
村里長,新北市蘆洲區保新里,黃素秋,無
村里長,新北市蘆洲區民和里,李進誠,中國國民黨
村里長,新北市蘆洲區福安里,李文義,無
村里長,新北市蘆洲區成功里,林德義,無
村里長,新北市蘆洲區永德里,陳宥安,無
村里長,新北市五股區成州里,陳林益,無
村里長,新北市五股區成功里,簡銘信,無
村里長,新北市五股區五龍里,陳燕山,無
村里長,新北市五股區五股里,陳蔡燕女,無
村里長,新北市五股區德音里,洪世欣,無
村里長,新北市五股區集賢里,陳文賓,無
村里長,新北市五股區民義里,陳添福,無
村里長,新北市五股區成泰里,潘明宏,無
村里長,新北市泰山區義學里,陳和榮,無
村里長,新北市泰山區貴子里,戴聯樹,無
村里長,新北市泰山區同興里,詹明德,無
村里長,新北市泰山區義仁里,許火炎,無
村里長,新北市泰山區福興里,張玉琴,中國國民黨
村里長,新北市泰山區全興里,趙木山,無
村里長,新北市林口區東林里,陳洪賓,無
村里長,新北市林口區西林里,王國華,無
村里長,新北市林口區菁湖里,林益興,無
村里長,新北市林口區中湖里,陳國珍,無
村里長,新北市林口區湖北里,張文清,無
村里長,新北市林口區頂福里,蘇源和,無
村里長,新北市林口區下福里,李美玉,無
村里長,新北市林口區麗林里,薛純良,無
村里長,新北市林口區麗園里,黃添福,無
村里長,新北市深坑區深坑里,黃建強,無
村里長,新北市深坑區土庫里,高太郎,無
村里長,新北市深坑區昇高里,李傳震,無
村里長,新北市深坑區萬福里,鄭宗良,無
村里長,新北市石碇區石碇里,王銘勇,無
村里長,新北市石碇區潭邊里,王萬紫,無
村里長,新北市石碇區隆盛里,謝根林,無
村里長,新北市石碇區烏塗里,林却,無
村里長,新北市石碇區彭山里,許建長,無
村里長,新北市石碇區豐田里,黃種奇,無
村里長,新北市石碇區永定里,王金洞,無
村里長,新北市石碇區中民里,郭滄樑,無
村里長,新北市石碇區永安里,蕭敏玲,無
村里長,新北市石碇區格頭里,高國泰,無
村里長,新北市三芝區埔頭里,簡錦隆,無
村里長,新北市三芝區埔坪里,曾玉珍,無
村里長,新北市三芝區茂長里,林雙喜,無
村里長,新北市三芝區錫板里,陳燕國,無
村里長,新北市三芝區福德里,郭萬和,中國國民黨
村里長,新北市三芝區興華里,杜國偵,無
村里長,新北市石門區尖鹿里,邱朝欉,無
村里長,新北市石門區乾華里,曾清松,無
村里長,新北市八里區龍源里,林俊德,無
村里長,新北市八里區舊城里,陳天發,無
村里長,新北市八里區訊塘里,張金貴,無
村里長,新北市八里區荖阡里,楊萬福,無
村里長,新北市八里區長坑里,洪煜豪,無
村里長,新北市八里區下罟里,汪金傳,無
村里長,新北市平溪區薯榔里,潘隆裕,無
村里長,新北市平溪區石底里,楊鄭財,無
村里長,新北市平溪區平溪里,高文城,無
村里長,新北市平溪區望古里,林寶玫,無
村里長,新北市平溪區平湖里,林燈源,無
村里長,新北市平溪區新寮里,胡兩泉,無
村里長,新北市雙溪區雙溪里,盧燈煌,無
村里長,新北市雙溪區平林里,黃添松,無
村里長,新北市雙溪區上林里,簡德福,中國國民黨
村里長,新北市雙溪區長源里,陳資郎,無
村里長,新北市貢寮區貢寮里,楊張翠華,無
村里長,新北市貢寮區雙玉里,吳永彬,無
村里長,新北市貢寮區龍崗里,黃朝銘,無
村里長,新北市貢寮區福隆里,吳憲彰,無
村里長,新北市貢寮區福連里,吳文益,無
村里長,新北市貢寮區美豐里,周貝芳,無
村里長,新北市金山區和平里,張文輝,無
村里長,新北市金山區豐漁里,許吉興,無
村里長,新北市金山區磺港里,許明熙,無
村里長,新北市金山區重和里,賴蔡標,無
村里長,新北市金山區兩湖里,張金火,無
村里長,新北市金山區清泉里,陳麗蘭,無
村里長,新北市金山區西湖里,賴聰明,無
村里長,新北市金山區金美里,蔡龍豪,無
村里長,新北市萬里區大鵬里,李建才,無
村里長,新北市萬里區磺潭里,張宗基,中國國民黨
村里長,新北市萬里區溪底里,吳連財,無
村里長,新北市萬里區北基里,鄧月嬌,中國國民黨
村里長,桃園市桃園區文化里,歐陽瀚,無
村里長,桃園市桃園區文明里,朱國銘,無
村里長,桃園市桃園區永興里,葉昆展,無
村里長,桃園市桃園區汴洲里,楊鑫坤,無
村里長,桃園市桃園區東埔里,江慶尚,無
村里長,桃園市桃園區東山里,游文章,無
村里長,桃園市桃園區萬壽里,張桃,無
村里長,桃園市桃園區長安里,陳俊亨,無
村里長,桃園市桃園區西門里,陳美卿,中國國民黨
村里長,桃園市桃園區中和里,許水來,無
村里長,桃園市桃園區慈文里,錡春發,無
村里長,桃園市桃園區西湖里,呂淑靜,無
村里長,桃園市桃園區南門里,吳宏泰,無
村里長,桃園市桃園區南華里,林獻堂,無
村里長,桃園市桃園區玉山里,林于翔,無
村里長,桃園市桃園區中成里,姜明月,無
村里長,桃園市桃園區北門里,蕭國章,無
村里長,桃園市桃園區雲林里,翁渭業,無
村里長,桃園市桃園區光興里,邱秀,無
村里長,桃園市桃園區成功里,李秀蓮,中國國民黨
村里長,桃園市桃園區三民里,康進旺,無
村里長,桃園市桃園區中寧里,陳明輝,無
村里長,桃園市桃園區莊敬里,高淞泰,無
村里長,桃園市桃園區文中里,陳武卿,無
村里長,桃園市桃園區泰山里,游輝居,無
村里長,桃園市桃園區中路里,溫麗芳,無
村里長,桃園市桃園區中德里,蔡秀星,無
村里長,桃園市桃園區寶山里,黃寬量,無
村里長,桃園市桃園區龍安里,蕭卉君,無
村里長,桃園市桃園區中平里,顏秀錦,無
村里長,桃園市桃園區中原里,王秀璞,無
村里長,桃園市桃園區南埔里,張寶鑾,無
村里長,桃園市桃園區中聖里,崔美瑛,無
村里長,桃園市桃園區同德里,張秀好,無
村里長,桃園市桃園區瑞慶里,黃欣韻,無
村里長,桃園市桃園區三元里,陳章立,無
村里長,桃園市桃園區福元里,楊瑞麟,無
村里長,桃園市中壢區永興里,方明裕,無
村里長,桃園市中壢區內壢里,林勝傑,中國國民黨
村里長,桃園市中壢區光明里,林坤泉,中國國民黨
村里長,桃園市中壢區自強里,黃省慶,無
村里長,桃園市中壢區仁愛里,鄧立敦,無
村里長,桃園市中壢區新街里,莊金泉,無
村里長,桃園市中壢區忠義里,簡秋榮,無
村里長,桃園市中壢區中正里,王財得,無
村里長,桃園市中壢區興仁里,李振榮,中國國民黨
村里長,桃園市中壢區洽溪里,游家興,無
村里長,桃園市中壢區篤行里,楊婷芸,無
村里長,桃園市中壢區新明里,盧肇興,中國國民黨
村里長,桃園市中壢區中原里,沈清進,無
村里長,桃園市中壢區龍岡里,吳淑情,中國國民黨
村里長,桃園市中壢區興國里,彭政銘,無
村里長,桃園市中壢區石頭里,王子林,無
村里長,桃園市中壢區中建里,李應偉,無
村里長,桃園市中壢區芝芭里,黃連應,無
村里長,桃園市中壢區振興里,董文昌,無
村里長,桃園市中壢區普慶里,鍾洪玉女,無
村里長,桃園市中壢區忠孝里,游緣如,無
村里長,桃園市中壢區和平里,盧栽寬,無
村里長,桃園市中壢區普強里,江長榮,無
村里長,桃園市中壢區至善里,梁惠鈴,無
村里長,桃園市中壢區德義里,楊建雲,中國國民黨
村里長,桃園市中壢區仁義里,張正忠,無
村里長,桃園市中壢區幸福里,陳耀金,無
村里長,桃園市中壢區仁和里,陳長來,中國國民黨
村里長,桃園市中壢區華愛里,陳能娟,無
村里長,桃園市中壢區莊敬里,劉邦茂,中國國民黨
村里長,桃園市中壢區自治里,吳宏駿,無
村里長,桃園市中壢區龍慈里,宋化森,無
村里長,桃園市大溪區福仁里,黃春成,無
村里長,桃園市大溪區一心里,黃進賢,無
村里長,桃園市大溪區一德里,呂理民,無
村里長,桃園市大溪區月眉里,黃文中,無
村里長,桃園市大溪區永福里,廖芊樺,無
村里長,桃園市大溪區復興里,邱焯勳,無
村里長,桃園市大溪區康安里,廖學淵,無
村里長,桃園市大溪區瑞興里,林瑞興,無
村里長,桃園市大溪區仁義里,張振源,無
村里長,桃園市大溪區仁善里,曲煥朋,無
村里長,桃園市大溪區瑞源里,江朝陽,無
村里長,桃園市大溪區光明里,黃永龍,無
村里長,桃園市大溪區田心里,游秋蓉,無
村里長,桃園市大溪區仁美里,曾月娥,中國國民黨
村里長,桃園市楊梅區永寧里,張乾坤,無
村里長,桃園市楊梅區大同里,謝伯鴻,無
村里長,桃園市楊梅區瑞塘里,王興福,無
村里長,桃園市楊梅區四維里,羅文明,中國國民黨
村里長,桃園市楊梅區梅溪里,吳錦鴻,無
村里長,桃園市楊梅區高山里,鄭豐慶,無
村里長,桃園市楊梅區高榮里,陳秀雲,無
村里長,桃園市楊梅區員本里,陳奕霖,無
村里長,桃園市楊梅區中山里,黃朱秀娥,無
村里長,桃園市楊梅區金溪里,彭慧蓮,無
村里長,桃園市楊梅區新榮里,林子齡,無
村里長,桃園市楊梅區瑞坪里,呂芳盛,無
村里長,桃園市楊梅區瑞溪里,林美慧,無
村里長,桃園市楊梅區三民里,黃金枝,無
村里長,桃園市楊梅區頭湖里,郝文會,無
村里長,桃園市蘆竹區大竹里,黃榮祈,中國國民黨
村里長,桃園市蘆竹區錦興里,林延珠,無
村里長,桃園市蘆竹區南榮里,卓宗賢,無
村里長,桃園市蘆竹區長興里,呂理粲,無
村里長,桃園市蘆竹區錦中里,李詩銘,無
村里長,桃園市蘆竹區上竹里,李阿清,中國國民黨
村里長,桃園市蘆竹區瓦窯里,吳國勝,無
村里長,桃園市蘆竹區羊稠里,李纘騰,無
村里長,桃園市蘆竹區順興里,陳淑媛,無
村里長,桃園市蘆竹區中山里,黃淑芬,無
村里長,桃園市蘆竹區福祿里,李勝輝,無
村里長,桃園市蘆竹區中興里,張月娥,無
村里長,桃園市蘆竹區上興里,蕭富全,無
村里長,桃園市蘆竹區營福里,夏榮發,中國國民黨
村里長,桃園市大園區大園里,林文川,無
村里長,桃園市大園區溪海里,劉健勲,無
村里長,桃園市大園區和平里,劉鈺貞,無
村里長,桃園市大園區五權里,游振輝,無
村里長,桃園市大園區菓林里,陳錫達,無
村里長,桃園市大園區沙崙里,游素珠,無
村里長,桃園市大園區內海里,許程睿,無
村里長,桃園市大園區北港里,蔡烱烈,無
村里長,桃園市大園區南港里,許茂,無
村里長,桃園市大園區青山里,李吳彩月,無
村里長,桃園市龜山區楓樹里,陳樹源,無
村里長,桃園市龜山區山福里,許文來,無
村里長,桃園市龜山區陸光里,聶哲淵,中國國民黨
村里長,桃園市龜山區公西里,陳銀河,無
村里長,桃園市龜山區樂善里,黃錦芳,無
村里長,桃園市龜山區南上里,陳鼎景,無
村里長,桃園市龜山區大坑里,游輝鐘,無
村里長,桃園市龜山區中興里,卓淑美,無
村里長,桃園市龜山區山德里,李健祿,無
村里長,桃園市龜山區龍壽里,陳水賓,無
村里長,桃園市龜山區大崗里,陳清華,無
村里長,桃園市龜山區文化里,黃明助,無
村里長,桃園市龜山區南美里,黃雅蓉,無
村里長,桃園市龜山區福源里,顏福來,無
村里長,桃園市龜山區新嶺里,陳文慶,無
村里長,桃園市龜山區大華里,潘素秋,無
村里長,桃園市八德區瑞德里,康秀雲,中國國民黨
村里長,桃園市八德區霄裡里,温玉紅,無
村里長,桃園市八德區茄苳里,賴弘毅,無
村里長,桃園市八德區高明里,呂峻安,中國國民黨
村里長,桃園市八德區白鷺里,黃慶玉,無
村里長,桃園市八德區大湳里,鄭桂林,無
村里長,桃園市八德區大和里,鄭秀英,無
村里長,桃園市八德區大同里,王錫文,無
村里長,桃園市八德區大義里,尤金源,無
村里長,桃園市八德區大忠里,劉銘勲,中國國民黨
村里長,桃園市八德區大華里,王福順,無
村里長,桃園市八德區大仁里,張國平,無
村里長,桃園市八德區大正里,郭明法,中國國民黨
村里長,桃園市八德區大明里,呂新添,無
村里長,桃園市八德區大竹里,鄭榮輝,無
村里長,桃園市八德區大慶里,李建銘,無
村里長,桃園市八德區大千里,呂黎靜,無
村里長,桃園市八德區高城里,徐添發,無
村里長,桃園市八德區陸光里,何金鳳,中國國民黨
村里長,桃園市八德區永豐里,趙令城,無
村里長,桃園市龍潭區黃唐里,劉修增,無
村里長,桃園市龍潭區烏林里,李鳳芝,中國國民黨
村里長,桃園市龍潭區八德里,葉來旺,無
村里長,桃園市龍潭區三林里,楊仕鉦,中國國民黨
村里長,桃園市龍潭區百年里,張銘純,無
村里長,桃園市龍潭區龍祥里,彭春蘭,中國國民黨
村里長,桃園市龍潭區建林里,張淑美,中國國民黨
村里長,桃園市龍潭區祥和里,林鴻斌,無
村里長,桃園市平鎮區宋屋里,魏寶蘭,無
村里長,桃園市平鎮區北勢里,張寶鈿,無
村里長,桃園市平鎮區北興里,莊訓城,中國國民黨
村里長,桃園市平鎮區南勢里,林德忠,無
村里長,桃園市平鎮區龍興里,許金新,無
村里長,桃園市平鎮區貿易里,宋子毅,無
村里長,桃園市平鎮區建安里,葉姜双鳳,無
村里長,桃園市平鎮區鎮興里,黃志杰,無
村里長,桃園市平鎮區湧豐里,陳上建,無
村里長,桃園市平鎮區福林里,彭士益,台灣民眾黨
村里長,桃園市平鎮區金星里,程明泉,無
村里長,桃園市平鎮區華安里,王可仁,中國國民黨
村里長,桃園市平鎮區北華里,鄧爕墩,無
村里長,桃園市新屋區新屋里,徐智遠,無
村里長,桃園市新屋區新生里,彭煥鈿,無
村里長,桃園市新屋區頭洲里,姜歐秀美,無
村里長,桃園市新屋區埔頂里,李美玉,無
村里長,桃園市新屋區下田里,黃福禮,無
村里長,桃園市新屋區後庄里,姜吉隆,無
村里長,桃園市觀音區新興里,姜禮松,無
村里長,桃園市觀音區塔腳里,郭朝明,無
村里長,桃園市復興區三民里,薛榮裕,無
村里長,桃園市復興區澤仁里,陽國禎,無
村里長,桃園市復興區義盛里,王曉貞,無
村里長,臺中市中區大墩里,張文華,中國國民黨
村里長,臺中市中區柳川里,蔡翠碧,中國國民黨
村里長,臺中市中區大誠里,林志隆,中國國民黨
村里長,臺中市中區中華里,廖榮中,無
村里長,臺中市東區新庄里,洪宗毅,無
村里長,臺中市東區泉源里,羅文甫,無
村里長,臺中市東區樂成里,曾仁杰,無
村里長,臺中市東區十甲里,林昑照,無
村里長,臺中市東區東南里,王瑞發,中國國民黨
村里長,臺中市東區東勢里,張財良,中國國民黨
村里長,臺中市南區福平里,張啓龍,中國國民黨
村里長,臺中市南區樹德里,余銘記,無
村里長,臺中市南區西川里,葉家宏,無
村里長,臺中市南區長榮里,林政蒼,無
村里長,臺中市南區南和里,黃寶蓮,無
村里長,臺中市西區民生里,黃文濱,中國國民黨
村里長,臺中市西區三民里,廖吳芬芳,無
村里長,臺中市西區東昇里,徐耀鍾,無
村里長,臺中市西區廣民里,林水順,無
村里長,臺中市西區民龍里,吳國楨,中國國民黨
村里長,臺中市西區安龍里,賴梁松,無
村里長,臺中市西區昇平里,蕭行凱,無
村里長,臺中市西區忠明里,賴瑞滄,無
村里長,臺中市西區公益里,劉興峰,無
村里長,臺中市西區公平里,魏素眞,中國國民黨
村里長,臺中市西區大忠里,張智權,無
村里長,臺中市北區文莊里,劉継勇,中國國民黨
村里長,臺中市北區五常里,林玉惠,無
村里長,臺中市北區新興里,曹中萍,中國國民黨
村里長,臺中市北區新北里,陳信志,中國國民黨
村里長,臺中市北區金華里,蘇福安,無
村里長,臺中市北區邱厝里,高敏裕,無
村里長,臺中市北區建興里,王平河,無
村里長,臺中市北區頂厝里,呂理宗,無
村里長,臺中市北區健行里,何文宏,中國國民黨
村里長,臺中市北區明德里,林麗芬,無
村里長,臺中市北區賴興里,盧冬松,無
村里長,臺中市北區中正里,張陳美雲,無
村里長,臺中市北區六合里,陳豐誠,民主進步黨
村里長,臺中市北區錦平里,游金隆,無
村里長,臺中市北區崇德里,呂成地,無
村里長,臺中市北區明新里,洪平東,無
村里長,臺中市北區梅川里,賴家增,中國國民黨
村里長,臺中市北區賴福里,黃灑晴,中國國民黨
村里長,臺中市西屯區潮洋里,陳素貞,無
村里長,臺中市西屯區逢甲里,廖婉菁,無
村里長,臺中市西屯區何安里,何唐文鈴,無
村里長,臺中市西屯區何厝里,何劉美玲,無
村里長,臺中市西屯區大福里,高信增,中國國民黨
村里長,臺中市西屯區港尾里,楊忠義,無
村里長,臺中市西屯區廣福里,吳賢龍,無
村里長,臺中市西屯區何源里,彭琴安,中國國民黨
村里長,臺中市西屯區西平里,廖建森,中國國民黨
村里長,臺中市西屯區何南里,曹豐洋,無
村里長,臺中市西屯區至善里,鄭文昌,無
村里長,臺中市西屯區上德里,洪頊晿,無
村里長,臺中市西屯區何明里,趙淑妙,無
村里長,臺中市西屯區何成里,田貴玉,無
村里長,臺中市西屯區福聯里,馮進通,無
村里長,臺中市西屯區福瑞里,林添憶,中國國民黨
村里長,臺中市西屯區福雅里,王勝偉,中國國民黨
村里長,臺中市南屯區南屯里,林秋潭,中國國民黨
村里長,臺中市南屯區中和里,蔡德勇,無
村里長,臺中市南屯區三厝里,黃俊銘,民主進步黨
村里長,臺中市南屯區文心里,王國在,中國國民黨
村里長,臺中市南屯區向心里,蕭惠丰,無
村里長,臺中市南屯區大誠里,王宗裕,無
村里長,臺中市南屯區大業里,賴樹杉,無
村里長,臺中市南屯區惠中里,沈呈融,無
村里長,臺中市南屯區三和里,張家蓉,無
村里長,臺中市南屯區三義里,陳惠鈴,無
村里長,臺中市北屯區北屯里,歐真宗,無
村里長,臺中市北屯區三光里,林瑞芳,中國國民黨
村里長,臺中市北屯區東光里,賴文章,中國國民黨
村里長,臺中市北屯區水景里,何明坤,無
村里長,臺中市北屯區軍功里,黃銘河,無
村里長,臺中市北屯區東山里,邱財源,民主進步黨
村里長,臺中市北屯區民政里,黃明華,無
村里長,臺中市北屯區廍子里,董銘成,無
村里長,臺中市北屯區大坑里,曾朝瑝,無
村里長,臺中市北屯區仁和里,張永漢,中國國民黨
村里長,臺中市北屯區仁美里,朱清華,無
村里長,臺中市北屯區后庄里,張瓊月,中國國民黨
村里長,臺中市北屯區同榮里,王煌照,中國國民黨
村里長,臺中市北屯區水湳里,賴進堂,中國國民黨
村里長,臺中市北屯區陳平里,林家峯,中國國民黨
村里長,臺中市北屯區新平里,李良仁,中國國民黨
村里長,臺中市北屯區平順里,賴錫鏗,無
村里長,臺中市北屯區平德里,歐志隆,無
村里長,臺中市北屯區松茂里,何志恆,無
村里長,臺中市北屯區大德里,李必勝,中國國民黨
村里長,臺中市北屯區松勇里,王嘉君,中國國民黨
村里長,臺中市北屯區北京里,蘇乙青,無
村里長,臺中市北屯區平心里,陳文欽,無
村里長,臺中市北屯區平福里,張振治,無
村里長,臺中市北屯區松和里,賴天權,中國國民黨
村里長,臺中市北屯區平陽里,張連進,無
村里長,臺中市北屯區平昌里,劉慶雲,中國國民黨
村里長,臺中市北屯區三和里,許勝雄,無
村里長,臺中市北屯區忠平里,許秀蓉,中國國民黨
村里長,臺中市豐原區豐榮里,林金玉,無
村里長,臺中市豐原區富春里,陳麗鳳,無
村里長,臺中市豐原區東勢里,胡慧玲,無
村里長,臺中市豐原區中興里,魏丞章,無
村里長,臺中市豐原區南陽里,楊國勝,無
村里長,臺中市豐原區翁子里,連佳振,無
村里長,臺中市豐原區翁社里,吳安修,無
村里長,臺中市東勢區東安里,楊嘉裕,無
村里長,臺中市東勢區南平里,黃文茂,無
村里長,臺中市東勢區延平里,吳文龍,無
村里長,臺中市東勢區廣興里,廖紫台,無
村里長,臺中市東勢區隆興里,蘇清泉,無
村里長,臺中市東勢區上城里,張玉雲,無
村里長,臺中市東勢區下城里,劉海湖,無
村里長,臺中市東勢區慶福里,林金泉,無
村里長,臺中市東勢區茂興里,吳仁文,無
村里長,臺中市東勢區泰興里,江國豐,無
村里長,臺中市大甲區大甲里,黃勝裕,無
村里長,臺中市大甲區平安里,周寶惜,無
村里長,臺中市大甲區庄美里,魏李嫌,無
村里長,臺中市大甲區新美里,王生源,無
村里長,臺中市大甲區中山里,廖嘉佐,中國國民黨
村里長,臺中市大甲區南陽里,黃火塗,無
村里長,臺中市大甲區薰風里,王秋芬,無
村里長,臺中市大甲區文曲里,林寶彩,無
村里長,臺中市大甲區文武里,葉淑惠,民主進步黨
村里長,臺中市大甲區江南里,李文登,無
村里長,臺中市大甲區孟春里,黃湘榕,無
村里長,臺中市大甲區龍泉里,陳廷旺,無
村里長,臺中市大甲區西岐里,羅永宗,無
村里長,臺中市大甲區福德里,莊金波,無
村里長,臺中市清水區靈泉里,顏貽松,無
村里長,臺中市清水區南寧里,高志勇,無
村里長,臺中市清水區西寧里,王慶源,無
村里長,臺中市清水區北寧里,紀文來,中國國民黨
村里長,臺中市清水區中興里,蔡興達,無
村里長,臺中市清水區西社里,楊茂雄,無
村里長,臺中市清水區臨江里,洪敏哲,無
村里長,臺中市清水區海濱里,陳山林,無
村里長,臺中市清水區槺榔里,洪水家,無
村里長,臺中市清水區高西里,洪曜南,無
村里長,臺中市清水區高南里,楊忠銘,無
村里長,臺中市清水區高北里,白銀堂,無
村里長,臺中市清水區田寮里,許進興,無
村里長,臺中市清水區東山里,王偉權,無
村里長,臺中市清水區楊厝里,曾弘利,無
村里長,臺中市清水區海風里,黃堉睿,無
村里長,臺中市清水區吳厝里,吳水通,無
村里長,臺中市沙鹿區沙鹿里,蔡曉婷,無
村里長,臺中市沙鹿區美仁里,陳建良,無
村里長,臺中市沙鹿區犁分里,陳文宜,無
村里長,臺中市沙鹿區晉江里,李瑞珍,無
村里長,臺中市沙鹿區清泉里,蔡國欣,無
村里長,臺中市沙鹿區西勢里,蔡坤地,無
村里長,臺中市沙鹿區三鹿里,顏清通,無
村里長,臺中市梧棲區頂寮里,鐘金水,無
村里長,臺中市梧棲區中和里,林淑貞,無
村里長,臺中市梧棲區文化里,蔡傳枝,無
村里長,臺中市梧棲區安仁里,薛志富,無
村里長,臺中市梧棲區草湳里,林槐庭,無
村里長,臺中市梧棲區大村里,陳昆廷,無
村里長,臺中市梧棲區興農里,陳起益,無
村里長,臺中市梧棲區永寧里,李皆得,無
村里長,臺中市梧棲區永安里,王連松,無
村里長,臺中市后里區廣福里,郭明洲,中國國民黨
村里長,臺中市后里區厚里里,黃金益,無
村里長,臺中市后里區墩西里,紀廷芳,無
村里長,臺中市后里區墩南里,陳輝,無
村里長,臺中市后里區公館里,馮詠淮,無
村里長,臺中市后里區義德里,謝榮慶,無
村里長,臺中市神岡區神岡里,王百瀛,無
村里長,臺中市神岡區三角里,江炳煌,無
村里長,臺中市神岡區岸裡里,謝繼潭,無
村里長,臺中市神岡區溪洲里,王明洲,無
村里長,臺中市神岡區圳前里,陳木生,中國國民黨
村里長,臺中市神岡區山皮里,陳勝泧,民主進步黨
